year month	day	rock	scissors	paper
2004 8 1 1 0 0
2004 8 8 0 0 1
2004 8 22 1 0 0
2004 8 29 1 0 0
2004 9 5 0 1 0
2004 9 12 0 0 1
2004 9 19 1 0 0
2004 9 26 1 0 0
2004 10 3 0 1 0
2004 10 10 0 1 0
2004 10 31 0 0 1
2004 11 7 1 0 0
2004 11 14 1 0 0
2004 11 21 1 0 0
2004 11 28 1 0 0
2004 12 5 0 1 0
2004 12 12 0 0 1
2004 12 19 0 1 0
2004 12 26 1 0 0
2005 1 16 0 1 0
2005 1 23 0 0 1
2005 1 30 0 0 1
2005 2 6 0 1 0
2005 2 13 0 0 1
2005 2 20 1 0 0
2005 2 27 1 0 0
2005 3 6 0 0 1
2005 3 13 0 1 0
2005 3 20 0 0 1
2005 3 27 0 1 0
2005 4 3 0 1 0
2005 4 10 1 0 0
2005 4 17 0 0 1
2005 4 24 1 0 0
2005 5 1 0 1 0
2005 5 8 0 1 0
2005 5 15 1 0 0
2005 5 22 0 0 1
2005 5 29 0 0 1
2005 6 5 0 0 1
2005 6 12 1 0 0
2005 6 19 0 1 0
2005 6 26 1 0 0
2005 7 3 0 1 0
2005 7 10 1 0 0
2005 7 17 0 0 1
2005 7 24 0 1 0
2005 7 31 0 1 0
2005 8 7 0 0 1
2005 8 14 0 1 0
2005 8 21 0 1 0
2005 8 28 1 0 0
2005 9 4 1 0 0
2005 9 11 0 1 0
2005 9 18 0 0 1
2005 10 2 0 1 0
2005 10 9 1 0 0
2005 10 16 0 0 1
2005 10 23 0 1 0
2005 10 30 1 0 0
2005 11 6 0 0 1
2005 11 13 0 1 0
2005 11 20 0 0 1
2005 11 27 0 0 1
2005 12 4 1 0 0
2005 12 11 1 0 0
2005 12 18 0 1 0
2005 12 25 0 0 1
2006 1 8 0 1 0
2006 1 15 0 1 0
2006 1 22 1 0 0
2006 1 29 0 0 1
2006 2 5 0 1 0
2006 2 19 0 0 1
2006 2 26 1 0 0
2006 3 5 1 0 0
2006 3 12 1 0 0
2006 3 19 0 1 0
2006 3 26 0 0 1
2006 4 2 0 1 0
2006 4 9 0 0 1
2006 4 16 1 0 0
2006 4 23 0 0 1
2006 4 30 0 1 0
2006 5 7 0 0 1
2006 5 14 0 0 1
2006 5 21 0 1 0
2006 5 28 1 0 0
2006 6 4 0 1 0
2006 6 11 0 0 1
2006 6 18 0 0 1
2006 6 25 1 0 0
2006 7 2 0 1 0
2006 7 9 1 0 0
2006 7 16 0 1 0
2006 7 23 0 0 1
2006 7 30 0 1 0
2006 8 6 0 1 0
2006 8 13 0 0 1
2006 8 20 1 0 0
2006 8 27 0 0 1
2006 9 3 0 1 0
2006 9 10 0 0 1
2006 9 17 0 1 0
2006 9 24 0 1 0
2006 10 1 1 0 0
2006 10 8 0 0 1
2006 10 15 0 0 1
2006 10 29 1 0 0
2006 11 5 0 1 0
2006 11 12 1 0 0
2006 11 19 0 0 1
2006 11 26 1 0 0
2006 12 3 0 1 0
2006 12 10 1 0 0
2006 12 17 1 0 0
2006 12 24 0 0 1
2006 12 31 0 1 0
2007 1 7 0 1 0
2007 1 14 0 0 1
2007 1 21 1 0 0
2007 1 28 1 0 0
2007 2 4 0 1 0
2007 2 11 1 0 0
2007 2 18 0 1 0
2007 2 25 0 0 1
2007 3 4 0 1 0
2007 3 11 0 1 0
2007 3 18 1 0 0
2007 3 25 1 0 0
2007 4 1 0 1 0
2007 4 8 1 0 0
2007 4 15 0 0 1
2007 4 22 0 0 1
2007 4 29 0 1 0
2007 5 6 1 0 0
2007 5 13 1 0 0
2007 5 20 0 0 1
2007 5 27 0 0 1
2007 6 3 1 0 0
2007 6 10 0 1 0
2007 6 17 0 1 0
2007 6 24 1 0 0
2007 7 1 0 0 1
2007 7 8 1 0 0
2007 7 15 1 0 0
2007 7 22 0 1 0
2007 7 29 0 1 0
2007 8 5 0 0 1
2007 8 12 0 0 1
2007 8 19 0 1 0
2007 8 26 1 0 0
2007 9 2 0 0 1
2007 9 9 1 0 0
2007 9 16 0 1 0
2007 9 23 0 0 1
2007 9 30 0 1 0
2007 10 7 1 0 0
2007 10 14 1 0 0
2007 10 21 0 1 0
2007 10 28 0 0 1
2007 11 4 0 1 0
2007 11 11 0 0 1
2007 11 18 1 0 0
2007 11 25 0 0 1
2007 12 2 0 1 0
2007 12 9 0 1 0
2007 12 16 1 0 0
2007 12 23 1 0 0
2008 1 6 0 1 0
2008 1 13 0 0 1
2008 1 20 0 1 0
2008 1 27 1 0 0
2008 2 3 0 0 1
2008 2 10 0 1 0
2008 2 17 0 0 1
2008 2 24 0 1 0
2008 3 2 1 0 0
2008 3 9 0 0 1
2008 3 16 0 1 0
2008 3 23 0 0 1
2008 3 30 1 0 0
2008 4 6 1 0 0
2008 4 13 0 0 1
2008 4 20 0 1 0
2008 4 27 0 1 0
2008 5 4 1 0 0
2008 5 11 0 0 1
2008 5 18 0 1 0
2008 5 25 0 0 1
2008 6 1 0 1 0
2008 6 8 1 0 0
2008 6 15 0 1 0
2008 6 22 1 0 0
2008 6 29 0 0 1
2008 7 6 0 1 0
2008 7 13 1 0 0
2008 7 20 0 1 0
2008 7 27 0 0 1
2008 8 3 0 1 0
2008 8 17 1 0 0
2008 8 24 0 0 1
2008 8 31 0 1 0
2008 9 7 1 0 0
2008 9 14 0 1 0
2008 9 21 0 0 1
2008 9 28 1 0 0
2008 10 5 0 1 0
2008 10 12 1 0 0
2008 10 19 0 0 1
